NCTNumber,StudyResults,Sex,Age,Phases,Enrollment,FunderType,StudyType
NCT06487000,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,150,INDUSTRY,INTERVENTIONAL
NCT03843437,NO,ALL,CHILD,NA,0,OTHER,INTERVENTIONAL
NCT04686955,NO,ALL,"CHILD, ADULT",NA,24,OTHER_GOV,INTERVENTIONAL
NCT06463353,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,376,OTHER,INTERVENTIONAL
NCT06058156,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,115,INDUSTRY,INTERVENTIONAL
NCT04352270,NO,ALL,CHILD,NA,56,OTHER,INTERVENTIONAL
NCT05285839,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,40,OTHER,INTERVENTIONAL
NCT02779426,NO,ALL,CHILD,NA,84,OTHER,INTERVENTIONAL
NCT05613062,NO,ALL,CHILD,"PHASE1,PHASE2",20,OTHER,INTERVENTIONAL
NCT05200403,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,118,OTHER,INTERVENTIONAL
NCT06009094,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,80,INDUSTRY,INTERVENTIONAL
NCT06421740,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,1000,INDUSTRY,OBSERVATIONAL
NCT04706559,NO,ALL,CHILD,NA,98,OTHER,INTERVENTIONAL
NCT06101823,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,48,INDUSTRY,INTERVENTIONAL
NCT04250337,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,228,INDUSTRY,INTERVENTIONAL
NCT03921411,YES,ALL,CHILD,PHASE2,20,INDUSTRY,INTERVENTIONAL
NCT06552520,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,500,INDUSTRY,INTERVENTIONAL
NCT04195698,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,485,INDUSTRY,INTERVENTIONAL
NCT03901144,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,50,INDUSTRY,INTERVENTIONAL
NCT04668066,YES,ALL,"ADULT, OLDER_ADULT",PHASE1,121,INDUSTRY,INTERVENTIONAL
NCT05318300,NO,ALL,CHILD,NA,126,INDUSTRY,INTERVENTIONAL
NCT06397911,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,90,INDUSTRY,INTERVENTIONAL
NCT04193670,NO,ALL,"ADULT, OLDER_ADULT",NA,18,OTHER,INTERVENTIONAL
NCT04613037,NO,ALL,"ADULT, OLDER_ADULT",EARLY_PHASE1,15,OTHER_GOV,INTERVENTIONAL
NCT02865356,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,36,INDUSTRY,INTERVENTIONAL
NCT02949960,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,19,INDUSTRY,INTERVENTIONAL
NCT06058000,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,120,INDUSTRY,INTERVENTIONAL
NCT02763722,NO,ALL,"CHILD, ADULT",NA,35,OTHER,INTERVENTIONAL
NCT05970432,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,160,INDUSTRY,INTERVENTIONAL
NCT06477835,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,250,OTHER,INTERVENTIONAL
NCT02669888,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,48,OTHER,INTERVENTIONAL
NCT06175143,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,40,INDUSTRY,INTERVENTIONAL
NCT03397979,NO,ALL,CHILD,NA,63,OTHER,INTERVENTIONAL
NCT05491447,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,103,INDUSTRY,INTERVENTIONAL
NCT05531188,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,68,INDUSTRY,OBSERVATIONAL
NCT05715320,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,160,INDUSTRY,INTERVENTIONAL
NCT06383468,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,420,INDUSTRY,INTERVENTIONAL
NCT04345367,YES,ALL,"ADULT, OLDER_ADULT",PHASE3,727,INDUSTRY,INTERVENTIONAL
NCT03915496,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,46,INDUSTRY,INTERVENTIONAL
NCT05602207,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,60,OTHER,INTERVENTIONAL
NCT06144424,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,32,INDUSTRY,INTERVENTIONAL
NCT05680298,NO,ALL,CHILD,PHASE4,34,INDUSTRY,INTERVENTIONAL
NCT03327116,NO,ALL,"ADULT, OLDER_ADULT",NA,10,OTHER,INTERVENTIONAL
NCT05525715,NO,ALL,"ADULT, OLDER_ADULT","PHASE1,PHASE2",260,INDUSTRY,INTERVENTIONAL
NCT06280716,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,430,INDUSTRY,INTERVENTIONAL
NCT03745651,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,618,INDUSTRY,INTERVENTIONAL
NCT03796676,YES,ALL,CHILD,PHASE3,287,INDUSTRY,INTERVENTIONAL
NCT06035354,NO,ALL,"ADULT, OLDER_ADULT","PHASE1,PHASE2",416,INDUSTRY,INTERVENTIONAL
NCT05674695,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,2500,OTHER,OBSERVATIONAL
NCT06389136,NO,ALL,ADULT,PHASE3,300,INDUSTRY,INTERVENTIONAL
NCT05014568,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,407,INDUSTRY,INTERVENTIONAL
NCT05995964,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,340,INDUSTRY,INTERVENTIONAL
NCT06039241,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,900,INDUSTRY,OBSERVATIONAL
NCT03492398,YES,MALE,ADULT,PHASE1,56,INDUSTRY,INTERVENTIONAL
NCT06495229,NO,ALL,"CHILD, ADULT",PHASE3,180,INDUSTRY,INTERVENTIONAL
NCT03745638,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,631,INDUSTRY,INTERVENTIONAL
NCT03632174,NO,ALL,"ADULT, OLDER_ADULT",NA,36,INDUSTRY,INTERVENTIONAL
NCT05487963,NO,ALL,"ADULT, OLDER_ADULT","PHASE1,PHASE2",40,INDUSTRY,INTERVENTIONAL
NCT03257644,NO,ALL,CHILD,PHASE1,70,INDUSTRY,INTERVENTIONAL
NCT06092762,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,180,INDUSTRY,INTERVENTIONAL
NCT04211415,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,8,INDUSTRY,INTERVENTIONAL
NCT05016284,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,0,INDUSTRY,INTERVENTIONAL
NCT04468711,NO,ALL,CHILD,PHASE3,92,OTHER_GOV,INTERVENTIONAL
NCT05265923,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,500,INDUSTRY,INTERVENTIONAL
NCT04605094,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,194,INDUSTRY,INTERVENTIONAL
NCT05142774,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,728,INDUSTRY,INTERVENTIONAL
NCT05526222,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,438,INDUSTRY,INTERVENTIONAL
NCT05911841,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,260,INDUSTRY,INTERVENTIONAL
NCT05932654,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,80,INDUSTRY,INTERVENTIONAL
NCT03646604,NO,ALL,CHILD,PHASE1,35,INDUSTRY,INTERVENTIONAL
NCT03952559,YES,ALL,CHILD,PHASE3,516,INDUSTRY,INTERVENTIONAL
NCT05186805,NO,ALL,CHILD,PHASE2,36,INDUSTRY,INTERVENTIONAL
NCT05032859,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,406,INDUSTRY,INTERVENTIONAL
NCT03083730,NO,ALL,"ADULT, OLDER_ADULT",NA,6,OTHER,INTERVENTIONAL
NCT04504955,NO,ALL,"ADULT, OLDER_ADULT",NA,10000,NETWORK,OBSERVATIONAL
NCT04265716,NO,ALL,CHILD,NA,102,OTHER,INTERVENTIONAL
NCT02844452,NO,ALL,"ADULT, OLDER_ADULT",NA,50,OTHER,INTERVENTIONAL
NCT04307862,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,165,INDUSTRY,INTERVENTIONAL
NCT04447417,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,52,INDUSTRY,INTERVENTIONAL
NCT05676242,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,400,INDUSTRY,INTERVENTIONAL
NCT03809663,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,251,INDUSTRY,INTERVENTIONAL
NCT03831191,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,136,INDUSTRY,INTERVENTIONAL
NCT05859724,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,140,INDUSTRY,INTERVENTIONAL
NCT05240300,NO,ALL,"ADULT, OLDER_ADULT","PHASE1,PHASE2",48,INDUSTRY,INTERVENTIONAL
NCT04162769,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,140,INDUSTRY,INTERVENTIONAL
NCT04895423,NO,ALL,CHILD,PHASE4,160,OTHER_GOV,INTERVENTIONAL
NCT02945683,NO,ALL,CHILD,NA,88,INDUSTRY,INTERVENTIONAL
NCT02594969,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,20,OTHER,INTERVENTIONAL
NCT05214326,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,187,INDUSTRY,OBSERVATIONAL
NCT03863418,NO,ALL,CHILD,NA,100,OTHER,INTERVENTIONAL
NCT02241174,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE1,0,OTHER,INTERVENTIONAL
NCT05682976,NO,ALL,"ADULT, OLDER_ADULT",NA,100,OTHER,OBSERVATIONAL
NCT03334435,YES,ALL,"ADULT, OLDER_ADULT",PHASE3,1645,INDUSTRY,INTERVENTIONAL
NCT04283968,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,50,OTHER_GOV,INTERVENTIONAL
NCT03559270,YES,ALL,"ADULT, OLDER_ADULT",PHASE3,374,INDUSTRY,INTERVENTIONAL
NCT06055374,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,0,INDUSTRY,INTERVENTIONAL
NCT04975438,YES,ALL,"ADULT, OLDER_ADULT",PHASE1,34,INDUSTRY,INTERVENTIONAL
NCT06108570,NO,ALL,"CHILD, ADULT",NA,72,INDUSTRY,INTERVENTIONAL
